-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2019 in LST
Location: latitude  10.85   longitude 76.27 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 370.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,DOY,T2M,RH2M,PRECTOTCORR,WS2M
2019,137,27.71,77.65,1.17,1.48
2019,138,28.37,75.29,0.5,1.31
2019,139,28.26,76.73,0.24,1.25
2019,140,28.46,74.49,0.12,1.05
2019,141,28.05,76.65,1.23,1.18
2019,142,29.02,70.16,0.32,1.39
2019,143,27.83,79.22,0.91,1.23
2019,144,27.35,82.57,2.38,1.17
2019,145,26.87,82.67,5.22,1.45
2019,146,27.56,80.41,1.62,1.51
2019,147,28.59,75.06,0.37,1.5
2019,148,28.4,75.63,9.42,1.43
2019,149,27.36,84.03,11.14,1.46
2019,150,27.2,78.36,3.02,1.41
2019,151,26.73,78.14,6.52,1.44
2019,152,27.77,76.35,0.66,1.29
2019,153,27.63,80.22,3.62,1.3
2019,154,26.4,85.63,3.26,1.41
2019,155,26.35,83.15,5.97,1.67
2019,156,26.29,82.26,12.85,1.32
2019,157,27.24,83.91,7.1,1.47
2019,158,26.6,86.17,1.17,1.36
2019,159,27.01,81.45,1.71,1.62
2019,160,26.09,83.05,7.92,2.11
2019,161,26.26,83.57,14.28,2.29
2019,162,26.4,83.89,16.45,2.3
2019,163,26.41,85.08,8.57,1.99
2019,164,26.17,86.32,6.62,1.76
2019,165,25.61,86.6,16.63,1.4
2019,166,25.7,87.22,4.87,1.26
2019,167,26.64,85.69,1.15,1.35
2019,168,26.47,85.6,1.28,1.68
2019,169,26.43,84.59,3.76,1.54
2019,170,25.92,88.59,7.9,1.68
2019,171,25.46,86.59,9.05,1.57
2019,172,24.9,86.43,17.98,1.42
2019,173,24.76,89.72,15.17,2.15
2019,174,25.21,86.02,10.99,1.53
2019,175,25.9,84.86,4.95,1.43
2019,176,25.74,88.16,4.97,1.4
2019,177,25.77,87.45,0.92,1.47
2019,178,26.0,85.34,0.25,1.91
2019,179,25.98,83.13,0.22,1.97
2019,180,25.95,84.35,0.53,2.09
2019,181,25.75,85.61,0.89,2.17
2019,182,26.17,85.19,0.89,1.93
2019,183,25.53,88.47,9.53,1.91
2019,184,25.71,88.74,7.81,1.93
2019,185,25.56,90.35,17.92,1.83
2019,186,25.4,89.27,12.37,1.98
2019,187,25.41,90.04,14.03,1.95
2019,188,25.67,89.09,8.55,1.88
2019,189,25.7,89.72,8.86,1.64
2019,190,24.71,91.27,17.27,1.32
2019,191,24.31,86.48,9.0,1.38
2019,192,24.85,85.68,5.95,1.2
2019,193,24.42,85.26,1.93,1.05
2019,194,25.14,87.17,8.25,1.08
2019,195,24.99,90.16,12.64,1.41
2019,196,24.0,86.83,9.54,1.67
2019,197,24.13,85.83,5.35,2.0
2019,198,24.17,87.02,5.35,2.08
2019,199,23.93,88.6,17.22,1.99
2019,200,24.0,91.78,37.4,2.77
2019,201,24.01,91.66,24.67,2.09
2019,202,24.37,91.0,21.45,2.37
2019,203,23.96,91.83,22.83,2.18
2019,204,23.83,88.31,5.34,1.7
2019,205,24.26,90.24,15.79,1.52
2019,206,23.97,91.66,6.27,1.09
2019,207,23.76,91.88,3.85,1.25
2019,208,24.4,88.95,0.64,1.13
2019,209,24.36,90.49,2.14,1.44
2019,210,24.47,90.48,2.78,1.54
2019,211,24.15,89.38,1.12,1.2
2019,212,24.69,86.69,0.53,1.13
2019,213,24.87,89.81,2.07,1.46
2019,214,24.59,91.64,6.5,1.61
2019,215,24.74,92.25,3.63,1.29
2019,216,24.43,93.11,18.33,1.38
2019,217,24.07,91.08,19.92,1.68
2019,218,24.39,91.98,33.75,1.77
2019,219,24.37,93.49,41.99,2.27
2019,220,24.44,94.13,91.75,2.86
2019,221,24.33,93.51,77.76,2.18
2019,222,24.01,91.54,40.72,1.45
2019,223,24.02,89.95,11.28,1.93
2019,224,24.06,90.12,9.02,1.94
2019,225,24.15,91.97,22.65,1.85
2019,226,23.96,94.64,23.09,2.14
2019,227,23.96,91.57,4.5,1.45
2019,228,23.75,90.26,7.05,1.36
2019,229,23.58,91.69,10.95,1.23
2019,230,23.71,92.5,11.09,1.19
2019,231,24.07,90.84,6.65,1.27
2019,232,24.2,91.57,10.17,1.34
2019,233,23.59,92.8,12.89,1.5
2019,234,23.35,91.51,18.34,1.81
2019,235,22.96,91.23,8.96,1.3
2019,236,23.35,91.6,6.04,1.32
2019,237,23.35,90.69,10.77,1.4
2019,238,23.89,91.53,15.77,1.8
2019,239,23.77,91.64,11.68,1.81
2019,240,24.0,90.9,8.48,1.39
2019,241,23.9,92.64,24.06,1.83
2019,242,23.77,91.4,5.04,1.42
2019,243,23.9,94.06,7.12,1.38
2019,244,24.2,93.75,11.96,1.24
2019,245,24.22,93.83,16.82,1.18
2019,246,24.16,91.68,9.8,1.36
2019,247,24.15,92.76,14.28,1.54
2019,248,24.42,92.56,9.16,1.7
2019,249,24.69,92.78,12.73,1.84
2019,250,24.61,92.11,7.62,1.68
2019,251,23.91,90.61,15.57,1.64
2019,252,24.0,90.81,8.3,1.23
2019,253,24.76,91.17,5.62,1.37
2019,254,24.93,92.72,20.31,1.36
2019,255,24.66,91.77,12.51,1.17
2019,256,24.01,91.92,14.46,0.97
2019,257,24.27,89.36,6.19,1.22
2019,258,24.39,89.87,8.02,1.08
2019,259,24.59,90.67,9.52,1.57
2019,260,24.4,90.15,17.74,1.44
2019,261,24.59,88.23,10.46,1.16
2019,262,23.95,88.71,8.24,0.96
2019,263,24.37,86.05,0.7,0.81
2019,264,25.06,87.38,1.1,1.12
2019,265,24.87,90.67,10.13,0.94
2019,266,24.76,89.81,10.02,1.13
2019,267,24.45,90.9,13.96,1.03
2019,268,24.04,91.56,8.65,1.07
2019,269,23.66,91.75,6.38,1.49
2019,270,24.71,84.83,4.07,0.75
2019,271,25.37,85.81,4.93,0.8
2019,272,25.28,84.37,9.41,0.52
2019,273,24.64,88.48,17.69,1.42
2019,274,24.63,88.11,6.8,1.16
2019,275,25.23,86.37,5.83,1.14
2019,276,25.38,88.01,6.19,1.14
2019,277,25.03,88.98,1.39,1.11
2019,278,24.18,89.83,2.98,0.79
2019,279,24.03,88.73,4.8,1.01
2019,280,23.67,86.52,6.37,0.79
2019,281,24.63,86.3,4.49,0.95
2019,282,25.24,86.53,1.85,0.96
2019,283,24.79,89.32,0.74,0.83
2019,284,25.22,88.88,7.61,0.8
2019,285,25.22,88.75,19.1,1.05
2019,286,25.19,87.97,20.48,0.62
2019,287,25.86,86.82,10.58,0.65
2019,288,25.65,87.08,10.26,0.41
2019,289,25.41,86.86,18.4,0.52
2019,290,24.56,88.99,30.45,1.21
2019,291,24.52,91.56,39.0,1.25
2019,292,25.15,90.11,11.75,0.92
2019,293,24.29,92.26,37.08,0.83
2019,294,24.0,92.38,27.66,1.04
2019,295,23.74,91.24,4.11,1.11
2019,296,23.67,90.91,13.81,1.25
2019,297,23.64,91.31,11.85,1.51
2019,298,23.84,90.22,10.01,1.46
2019,299,23.98,90.75,5.57,1.43
2019,300,24.06,85.12,2.23,0.79
2019,301,24.09,86.17,2.07,0.55
2019,302,23.53,85.45,3.83,1.16
2019,303,24.12,87.34,41.76,1.0
2019,304,23.58,93.72,19.41,1.77
2019,305,24.25,80.09,0.97,0.7
2019,306,24.46,84.29,1.95,0.67
2019,307,25.01,87.49,9.59,0.79
2019,308,24.74,90.04,6.86,0.83
2019,309,25.75,86.04,0.93,0.69
2019,310,25.19,91.51,1.2,0.95
2019,311,24.92,91.98,1.87,1.02
2019,312,25.3,88.56,2.67,1.08
2019,313,25.28,87.2,4.94,0.87
2019,314,24.48,95.08,14.44,1.25
2019,315,24.38,90.74,12.14,0.49
2019,316,23.86,87.86,2.81,1.08
2019,317,24.25,83.55,0.17,1.27
2019,318,24.75,85.11,1.14,1.04
2019,319,25.18,86.25,5.55,0.87
2019,320,25.02,87.27,8.67,1.02
2019,321,25.16,83.82,2.07,0.85
2019,322,25.03,83.79,2.39,0.79
2019,323,25.51,84.58,4.78,1.04
2019,324,24.91,87.52,8.02,0.63
2019,325,25.17,86.24,4.88,1.06
2019,326,24.52,86.08,1.73,1.2
2019,327,24.5,83.74,1.28,1.45
2019,328,24.55,84.25,0.85,1.58
2019,329,24.53,84.48,0.37,1.55
2019,330,24.17,82.59,0.36,1.8
2019,331,24.51,85.96,1.02,1.47
2019,332,24.79,86.69,0.92,1.31
2019,333,24.78,87.08,5.04,1.23
2019,334,24.93,87.07,2.96,1.04
2019,335,24.8,90.53,15.89,0.81
2019,336,23.87,91.47,17.9,1.11
2019,337,24.05,89.19,5.36,0.9
2019,338,23.99,84.05,0.57,1.64
2019,339,23.45,82.47,0.05,1.79
2019,340,23.06,82.41,0.01,1.9
2019,341,23.98,84.93,0.81,1.48
2019,342,23.53,83.17,0.45,1.63
2019,343,23.31,82.75,0.21,1.75
2019,344,23.15,80.21,0.11,1.56
2019,345,24.02,79.32,0.01,1.2
2019,346,24.18,78.77,0.01,1.05
2019,347,24.4,83.47,0.16,1.07
2019,348,24.05,88.08,14.11,1.13
2019,349,23.76,83.96,1.48,1.59
2019,350,23.71,83.5,0.01,1.44
2019,351,24.07,81.93,0.16,1.58
2019,352,23.77,82.26,0.07,1.69
2019,353,24.3,82.08,0.01,1.84
2019,354,24.04,82.5,0.0,1.33
2019,355,23.82,81.45,0.0,1.63
2019,356,23.99,81.11,0.0,1.46
2019,357,23.96,81.31,0.02,1.59
2019,358,24.29,79.63,0.15,1.11
2019,359,25.07,84.13,1.93,1.3
2019,360,25.37,82.05,0.24,0.97
2019,361,25.34,80.09,0.13,0.89
2019,362,24.52,78.23,0.05,1.28
2019,363,24.47,79.3,0.02,1.38
2019,364,24.53,78.57,0.55,1.34
2019,365,24.51,82.15,2.1,0.99
